building_id,building_name,property_type,sqft,current_eui,reduction_needed_pct,recommended_opt_in,penalties_if_default,penalties_if_optin,npv_benefit_of_optin,primary_rationale,analysis_timestamp
5908,luxe at mile high (lx112),Multifamily Housing,403740.0,40.8,-8.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5912,sienna sloan's lake (sn378),Multifamily Housing,46825.0,48.1,8.1,True,82178.0,84004.0,9725.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5913,ogden flats,Multifamily Housing,42474.0,31.1,-42.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5915,la villa de barela,Mixed Use Property,44655.0,111.9,51.4,True,1056984.0,1181125.0,48600.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5916,Downing St Apartments,Multifamily Housing,52650.0,46.7,3.6,False,13426.0,41172.0,-18740.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5933,mercantile commercial llc,Mixed Use Property,154267.0,92.9,35.5,True,1469393.0,2341773.0,-464323.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5937,eliot street center,Multifamily Housing,26425.0,91.8,51.9,True,396375.0,578602.0,-84860.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5938,"blk220, llc - 1800 wazee",MIXED USE PROPERTY,350003.0,55.3,12.7,False,399003.0,1127010.0,-487264.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5939,clay/28th condominium association,Multifamily Housing,30941.0,30.1,-46.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5942,m a w,Multifamily Housing,34089.0,31.0,-42.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5946,wonderland at city park south condominiums,Multifamily Housing,37903.0,42.8,-3.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5947,the cortona at cc hoa (id: 5947),Multifamily Housing,35780.0,39.1,-13.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5955,parkside at cherry creek,Multifamily Housing,36460.0,35.9,-23.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5964,bag factory lofts,Multifamily Housing,26504.0,36.4,-21.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5966,the park of woodstream village,Multifamily Housing,125117.0,50.1,11.8,True,227087.0,339568.0,-54693.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5976,lexington village condos,Multifamily Housing,49081.0,68.1,35.1,False,237797.0,539597.0,-195125.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5978,lexington square condominium association,Multifamily Housing,48000.0,54.3,18.6,True,131040.0,223008.0,-52196.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5980,canyon club condos,Multifamily Housing,228974.0,64.3,31.3,True,1260502.0,2117094.0,-480347.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5985,monaco village condominiums,Multifamily Housing,40485.0,58.3,24.2,True,160928.0,262586.0,-55465.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5990,avenue lofts association,Multifamily Housing,30000.0,36.7,-20.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5992,nccar4 - mountain west business park - bldg. 7,Distribution Center,36089.0,67.7,55.2,True,448767.0,620875.0,-70080.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5993,pena sw clinic,Medical Office,44899.0,72.6,5.0,False,24245.0,74353.0,-33843.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5998,denver health campus,Hospital (General Medical & Surgical),1816423.0,175.5,5.9,False,2806374.0,8606212.0,-3917261.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5999,westside clinic,Urgent Care/Clinic/Other Outpatient,49901.0,73.2,5.7,False,31438.0,96409.0,-43882.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6001,saddlery,Office,73118.0,35.2,-37.2,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6003,rickenbaugh cadillac company,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",75000.0,142.6,77.3,True,2794500.0,3805350.0,-390262.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
6004,escalante-biggs academy,K-12 School,35430.0,33.6,-57.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6005,sandoval campus bldg #5,K-12 School,98086.0,51.0,5.9,False,44139.0,135359.0,-61611.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
6006,the ranch at first creek (wt100),Multifamily Housing,274968.0,47.1,2.1,True,123736.0,126485.0,14643.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
